Code,Date,Close,MarketCapB
1306,2026-07-31,417.20001220703125,
1308,2026-07-31,4120.0,
1326,2026-07-31,60040.0,
1348,2026-07-31,4149.0,
1364,2026-07-31,3754.0,
1379,2026-07-31,1952.0,61.1
1397,2026-07-31,65070.0,
1407,2026-07-31,2529.0,100.3
1434,2026-07-31,1705.0,11.8
1450,2026-07-31,1510.0,13.1
1458,2026-07-31,78850.0,
1459,2026-07-31,119.0,
1496,2026-07-31,1635.0,
1542,2026-07-31,27105.0,
1543,2026-07-31,60200.0,
1547,2026-07-31,13030.0,
1571,2026-07-31,304.0,
1579,2026-07-31,712.9000244140625,
1586,2026-07-31,3040.0,
1605,2026-07-31,3627.0,4215.2
1625,2026-07-31,63920.0,
1689,2026-07-31,752.0,
1691,2026-07-31,14040.0,
1717,2026-07-31,949.0,11.2
1719,2026-07-31,1824.5,286.0
1724,2026-07-31,689.0,3.1
1768,2026-07-31,1081.0,7.9
1783,2026-07-31,49.0,8.3
1793,2026-07-31,1970.0,50.1
1799,2026-07-31,3450.0,61.1
1810,2026-07-31,1466.0,41.8
1815,2026-07-31,4400.0,61.3
1835,2026-07-31,4175.0,143.8
1850,2026-07-31,423.0,12.2
1870,2026-07-31,1908.0,82.4
1878,2026-07-31,3369.0,1116.3
1928,2026-07-31,3488.0,2261.1
1930,2026-07-31,1485.0,40.8
1964,2026-07-31,3865.0,28.0
1997,2026-07-31,3805.0,7.7
2009,2026-07-31,1082.0,
2011,2026-07-31,846.5999755859375,
2017,2026-07-31,1496.0,
2018,2026-07-31,1331.0,
2072,2026-07-31,21535.0,
2085,2026-07-31,775.0,
2112,2026-07-31,448.0,12.3
2117,2026-07-31,2765.0,
2209,2026-07-31,2378.0,30.4
2215,2026-07-31,608.0,4.2
2226,2026-07-31,4765.0,50.8
2235,2026-07-31,3643.0,
2241,2026-07-31,935.7000122070312,
2253,2026-07-31,1356.0,
2255,2026-07-31,203.5,
2258,2026-07-31,227.39999389648438,
2259,2026-07-31,181.5,
2264,2026-07-31,1191.0,96.2
2288,2026-07-31,2297.0,56.2
2338,2026-07-31,129.0,
2391,2026-07-31,1181.0,
2413,2026-07-31,1781.5,
2461,2026-07-31,403.0,
2502,2026-07-31,1666.5,
2518,2026-07-31,2365.0,
2552,2026-07-31,2013.0,
2557,2026-07-31,4067.0,
2558,2026-07-31,3451.0,
2568,2026-07-31,7824.0,
2594,2026-07-31,2001.0,
2607,2026-07-31,3964.0,
2625,2026-07-31,4014.0,
