code,name,shares,bps,equity,total_assets,debt,cash,ebitda,dep_amort,op_actual,fy_end,fy_end_next,ebitda_basis,sources,as_of
1332,Nissui Corporation,312430277.0,989.61,309943000000.0,749509000000.0,300739985408.0,24251000000.0,70110248960.0,,40430000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-20
1414,"SHO-BOND Holdings Co.,Ltd.",218980720.0,533.185,105446000000.0,124880000000.0,0.0,30677000000.0,21558999040.0,,16591000000.0,2026-06-30,,yfinance,bps=yfinance:bookValue;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-11
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",65322000.0,1453.23,55800000000.0,127921000000.0,51737001984.0,5701000000.0,12366749696.0,,9573000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-13
1605,INPEX CORPORATION,1259136067.0,4390.365,5122733000000.0,8019409000000.0,1318322962432.0,210485000000.0,1377061044224.0,,278215000000.0,2026-12-31,,yfinance,bps=yfinance:bookValue;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-13
1662,"Japan Petroleum Exploration Co.,Ltd.",257000380.0,2451.33,658897000000.0,862470000000.0,57756000256.0,49954000000.0,74752999424.0,,38915000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-13
1719,HAZAMA ANDO CORPORATION,181021197.0,1327.51,209380000000.0,411575000000.0,27477000192.0,64591000000.0,38510501888.0,,33618000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-14
1721,COMSYS Holdings Corporation,118000000.0,3456.24,407451000000.0,565709000000.0,2776000000.0,41333000000.0,64068001792.0,,50904000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-12
1801,TAISEI CORPORATION,163185872.0,5816.09,989931000000.0,2714550000000.0,447028985856.0,272974000000.0,217361498112.0,,187973000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-14
1802,OBAYASHI CORPORATION,691811346.0,1830.64,1316466000000.0,3143449000000.0,355662004224.0,416028000000.0,246128001024.0,,194678000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-13
1803,SHIMIZU CORPORATION,716689413.0,1439.89,1001175000000.0,2654382000000.0,573212000256.0,354492000000.0,154221248512.0,,118669000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-12
1808,HASEKO Corporation,292479897.0,2126.38,563451000000.0,1417724000000.0,418543992832.0,288134000000.0,117682503680.0,,98743000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-15
1812,KAJIMA CORPORATION,528656011.0,3036.89,1436220000000.0,3624341000000.0,817700995072.0,392273000000.0,275852001280.0,,240780000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-14
1878,"DAITO TRUST CONSTRUCTION CO.,LTD.",344594895.0,1534.24,496598000000.0,1367502000000.0,300824985600.0,258120000000.0,162382004224.0,,135256000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-26
1885,TOA CORPORATION,87978516.0,1507.27,117926000000.0,305435000000.0,29944000512.0,49231000000.0,27101749248.0,,24199000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-13
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",286013910.0,726.03,199033000000.0,790413000000.0,244885995520.0,71435000000.0,66469249024.0,,55304000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-08
1911,"Sumitomo Forestry Co.,Ltd.",618555804.0,2025.788,1179723000000.0,2612798000000.0,302932983808.0,89054003200.0,78579499008.0,,23905000000.0,2026-12-31,,yfinance,bps=yfinance:bookValue;cash=yfinance:totalCash;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-07
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",659636182.0,4677.09,3022275000000.0,8412419000000.0,3463954038784.0,424588000000.0,769303248896.0,,614879000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-13
1928,"Sekisui House,Ltd.",651422166.0,3331.587,2210279000000.0,4958306000000.0,1873616961536.0,296158986240.0,401864491008.0,,76104000000.0,2027-01-31,,yfinance,bps=yfinance:bookValue;cash=yfinance:totalCash;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-06-04
1942,"KANDENKO CO.,LTD.",205288338.0,1961.02,405687000000.0,635618000000.0,11706000384.0,77151000000.0,96528998400.0,,83140000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-06-01
1944,KINDEN CORPORATION,199954180.0,3340.44,661895000000.0,913763000000.0,245420998656.0,182308000000.0,108153004032.0,,90256000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-04-27
1951,"EXEO Group,Inc.",205624838.0,1676.23,346736000000.0,691154000000.0,121562996736.0,41376000000.0,73233997824.0,,52016000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-13
1959,KRAFTIA CORPORATION,70864961.0,4915.49,351644000000.0,523268000000.0,29315999744.0,50548000000.0,60935000064.0,,54600000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-04-28
1961,"SANKI ENGINEERING CO.,LTD.",160983468.0,794.14,121437000000.0,219483000000.0,6374000128.0,39784000000.0,32313999360.0,,27991000000.0,2027-03-31,2028-03-31,yfinance,bps=jquants:BPS;cash=jquants:CashEq;debt=yfinance:totalDebt;ebitda=yfinance:ebitda;equity=jquants:Eq;shares=jquants:ShOutFY;total_assets=jquants:TA,2026-05-14
