code,name,fy,metric,first_value,first_as_of,latest_value,latest_as_of,revisions
1301,"KYOKUYO CO.,LTD.",FY2025,dps,110.0,2024-08-05,110.0,2025-02-03,0
1301,"KYOKUYO CO.,LTD.",FY2025,eps,589.35,2024-08-05,589.35,2025-02-03,0
1301,"KYOKUYO CO.,LTD.",FY2025,net_profit,7000000000.0,2024-08-05,7000000000.0,2025-02-03,0
1301,"KYOKUYO CO.,LTD.",FY2025,net_sales,300000000000.0,2024-08-05,300000000000.0,2025-02-03,0
1301,"KYOKUYO CO.,LTD.",FY2025,operating_profit,10000000000.0,2024-08-05,10000000000.0,2025-02-03,0
1301,"KYOKUYO CO.,LTD.",FY2025,ordinary_profit,10000000000.0,2024-08-05,10000000000.0,2025-02-03,0
1301,"KYOKUYO CO.,LTD.",FY2026,dps,150.0,2025-05-12,150.0,2026-02-06,0
1301,"KYOKUYO CO.,LTD.",FY2026,eps,690.38,2025-05-12,564.1,2026-02-06,1
1301,"KYOKUYO CO.,LTD.",FY2026,net_profit,8200000000.0,2025-05-12,6700000000.0,2026-02-06,1
1301,"KYOKUYO CO.,LTD.",FY2026,net_sales,350000000000.0,2025-05-12,330000000000.0,2026-02-06,1
1301,"KYOKUYO CO.,LTD.",FY2026,operating_profit,12500000000.0,2025-05-12,11100000000.0,2026-02-06,1
1301,"KYOKUYO CO.,LTD.",FY2026,ordinary_profit,12500000000.0,2025-05-12,10300000000.0,2026-02-06,1
1301,"KYOKUYO CO.,LTD.",FY2027,dps,160.0,2026-05-15,160.0,2026-05-15,0
1301,"KYOKUYO CO.,LTD.",FY2027,eps,606.2,2026-05-15,606.2,2026-05-15,0
1301,"KYOKUYO CO.,LTD.",FY2027,net_profit,7200000000.0,2026-05-15,7200000000.0,2026-05-15,0
1301,"KYOKUYO CO.,LTD.",FY2027,net_sales,365000000000.0,2026-05-15,365000000000.0,2026-05-15,0
1301,"KYOKUYO CO.,LTD.",FY2027,operating_profit,12000000000.0,2026-05-15,12000000000.0,2026-05-15,0
1301,"KYOKUYO CO.,LTD.",FY2027,ordinary_profit,11000000000.0,2026-05-15,11000000000.0,2026-05-15,0
1332,Nissui Corporation,FY2025,dps,24.0,2024-08-06,28.0,2025-02-07,1
1332,Nissui Corporation,FY2025,eps,77.21,2024-08-06,77.21,2025-02-07,0
1332,Nissui Corporation,FY2025,net_profit,24000000000.0,2024-08-06,24000000000.0,2025-02-07,0
1332,Nissui Corporation,FY2025,net_sales,875000000000.0,2024-08-06,880000000000.0,2025-02-07,1
