Code,MarketDiv,Name,AppliedOn
1332,P,Nissui Corporation,"August 31, 2026"
3148,P,"CREATE SD HOLDINGS CO.,LTD.","August 31, 2026"
1414,P,"SHO-BOND Holdings Co.,Ltd.","August 31, 2026"
3186,P,"NEXTAGE Co.,Ltd.","August 31, 2026"
1518,P,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.","August 31, 2026"
3231,P,"Nomura Real Estate Holdings,Inc.","August 31, 2026"
1605,P,INPEX CORPORATION,"August 31, 2026"
3288,P,"Open House Group Co.,Ltd.","August 31, 2026"
1662,P,"Japan Petroleum Exploration Co.,Ltd.","August 31, 2026"
3289,P,Tokyu Fudosan Holdings Corporation,"August 31, 2026"
1719,P,HAZAMA ANDO CORPORATION,"August 31, 2026"
3291,P,"Iida Group Holdings Co.,Ltd.","August 31, 2026"
1721,P,COMSYS Holdings Corporation,"August 31, 2026"
3349,P,COSMOS Pharmaceutical Corporation,"August 31, 2026"
1801,P,TAISEI CORPORATION,"August 31, 2026"
3382,P,"Seven & i Holdings Co.,Ltd.","August 31, 2026"
1802,P,OBAYASHI CORPORATION,"August 31, 2026"
3391,P,TSURUHA HOLDINGS INC.,"August 31, 2026"
1803,P,SHIMIZU CORPORATION,"August 31, 2026"
3402,P,"TORAY INDUSTRIES,INC.","August 31, 2026"
1808,P,HASEKO Corporation,"August 31, 2026"
3465,P,"KI-STAR REAL ESTATE CO.,LTD","August 31, 2026"
1812,P,KAJIMA CORPORATION,"August 31, 2026"
3549,S,"KUSURI NO AOKI HOLDINGS CO.,LTD.","August 31, 2026"
1878,P,"DAITO TRUST CONSTRUCTION CO.,LTD.","August 31, 2026"
3563,P,FOOD & LIFE COMPANIES LTD.,"August 31, 2026"
1885,P,TOA CORPORATION,"August 31, 2026"
3626,P,TISI Inc.,"August 31, 2026"
1893,P,"PENTA-OCEAN CONSTRUCTION CO.,LTD.","August 31, 2026"
3635,P,"KOEI TECMO HOLDINGS CO.,LTD.","August 31, 2026"
1911,P,"Sumitomo Forestry Co.,Ltd.","August 31, 2026"
3659,P,"NEXON Co.,Ltd.","August 31, 2026"
1925,P,"DAIWA HOUSE INDUSTRY CO.,LTD.","August 31, 2026"
3697,P,SHIFT Inc.,"August 31, 2026"
1928,P,"Sekisui House,Ltd.","August 31, 2026"
3769,P,"GMO Payment Gateway,Inc.","August 31, 2026"
1942,P,"KANDENKO CO.,LTD.","August 31, 2026"
3774,P,Internet Initiative Japan Inc.,"August 31, 2026"
1944,P,KINDEN CORPORATION,"August 31, 2026"
3923,P,"RAKUS Co.,Ltd.","August 31, 2026"
1951,P,"EXEO Group,Inc.","August 31, 2026"
4004,P,Resonac Holdings Corporation,"August 31, 2026"
1959,P,KRAFTIA CORPORATION,"August 31, 2026"
4021,P,Nissan Chemical Corporation,"August 31, 2026"
1961,P,"SANKI ENGINEERING CO.,LTD.","August 31, 2026"
4042,P,TOSOH CORPORATION,"August 31, 2026"
1969,P,"Takasago Thermal Engineering Co.,Ltd.","August 31, 2026"
4062,P,"IBIDEN CO.,LTD.","August 31, 2026"
1980,P,"DAI-DAN CO.,LTD.","August 31, 2026"
4063,P,"Shin-Etsu Chemical Co.,Ltd.","August 31, 2026"
2124,P,"JAC Recruitment Co.,Ltd.","August 31, 2026"
4091,P,NIPPON SANSO HOLDINGS CORPORATION,"August 31, 2026"
2127,P,Nihon M&A Center Holdings Inc.,"August 31, 2026"
4151,P,"Kyowa Kirin Co.,Ltd.","August 31, 2026"
2154,P,Open Up Group Inc.,"August 31, 2026"
4183,P,"Mitsui Chemicals,Inc.","August 31, 2026"
2181,P,"PERSOL HOLDINGS CO.,LTD.","August 31, 2026"
4186,P,"TOKYO OHKA KOGYO CO.,LTD.","August 31, 2026"
2201,P,"Morinaga & Co.,Ltd.","August 31, 2026"
4194,P,"Visional,Inc.","August 31, 2026"
2212,P,"YAMAZAKI BAKING CO.,LTD.","August 31, 2026"
4202,P,Daicel Corporation,"August 31, 2026"
2222,P,"Kotobuki Spirits Co.,Ltd.","August 31, 2026"
4203,P,"Sumitomo Bakelite Company,Limited","August 31, 2026"
2229,P,"CALBEE,Inc.","August 31, 2026"
4204,P,"Sekisui Chemical Co.,Ltd.","August 31, 2026"
2264,P,"MORINAGA MILK INDUSTRY CO.,LTD.","August 31, 2026"
4206,P,"Aica Kogyo Company,Limited","August 31, 2026"
2267,P,"YAKULT HONSHA CO.,LTD.","August 31, 2026"
4307,P,"Nomura Research Institute,Ltd.","August 31, 2026"
2269,P,"Meiji Holdings Co.,Ltd.","August 31, 2026"
4373,P,"Simplex Holdings,Inc.","August 31, 2026"
2317,P,Systena Corporation,"August 31, 2026"
4385,P,"Mercari,Inc.","August 31, 2026"
2327,P,NS Solutions Corporation,"August 31, 2026"
4401,P,ADEKA CORPORATION,"August 31, 2026"
2331,P,"ALSOK CO.,LTD.","August 31, 2026"
4403,P,NOF CORPORATION,"August 31, 2026"
2371,P,"Kakaku.com,Inc.","August 31, 2026"
4452,P,Kao Corporation,"August 31, 2026"
2379,P,dip Corporation,"August 31, 2026"
4503,P,Astellas Pharma Inc.,"August 31, 2026"
2384,P,"SBS Holdings,Inc.","August 31, 2026"
4507,P,"Shionogi & Co.,Ltd.","August 31, 2026"
2413,P,"M3,Inc.","August 31, 2026"
4516,P,"Nippon Shinyaku Co.,Ltd.","August 31, 2026"
2503,P,"Kirin Holdings Company,Limited","August 31, 2026"
4519,P,"CHUGAI PHARMACEUTICAL CO.,LTD.","August 31, 2026"
2587,P,Suntory Beverage & Food Limited,"August 31, 2026"
4523,P,"Eisai Co.,Ltd.","August 31, 2026"
2670,P,"ABC-MART,INC.","August 31, 2026"
4527,P,"ROHTO PHARMACEUTICAL CO.,LTD.","August 31, 2026"
2678,P,ASKUL Corporation,"August 31, 2026"
4528,P,"ONO PHARMACEUTICAL CO.,LTD.","August 31, 2026"
2685,P,"and ST HD Co.,Ltd.","August 31, 2026"
4536,P,"SANTEN PHARMACEUTICAL CO.,LTD.","August 31, 2026"
2702,S,"McDonald's Holdings Company(Japan),Ltd.","August 31, 2026"
4543,P,TERUMO CORPORATION,"August 31, 2026"
2726,P,"PAL GROUP Holdings CO.,LTD","August 31, 2026"
4568,P,"DAIICHI SANKYO COMPANY,LIMITED","August 31, 2026"
2767,P,TSUBURAYA FIELDS HOLDINGS INC.,"August 31, 2026"
