Code,VsTopix3M,VsTopix6M,VsTopix12M,TopixReturn3M,TopixReturn6M,TopixReturn12M,ComputedDate
1306,0.3,,,3.73,24.13,53.95,2026-08-06
1308,-0.0,,,3.73,24.13,53.95,2026-08-06
1381,-16.3,-25.9,,3.73,24.13,53.95,2026-08-06
1499,-2.6,,,3.73,24.13,53.95,2026-08-06
1724,,-20.8,,3.73,24.13,53.95,2026-08-06
1783,,-41.7,,3.73,24.13,53.95,2026-08-06
1793,,6.5,8.6,3.73,24.13,53.95,2026-08-06
1813,,-39.4,,3.73,24.13,53.95,2026-08-06
1835,,-31.4,,3.73,24.13,53.95,2026-08-06
1879,,-10.3,,3.73,24.13,53.95,2026-08-06
1885,,-54.8,,3.73,24.13,53.95,2026-08-06
1909,,12.5,,3.73,24.13,53.95,2026-08-06
1926,,-20.0,,3.73,24.13,53.95,2026-08-06
1930,,-23.2,,3.73,24.13,53.95,2026-08-06
1939,,-11.2,,3.73,24.13,53.95,2026-08-06
1944,,-19.8,,3.73,24.13,53.95,2026-08-06
1960,,-18.5,,3.73,24.13,53.95,2026-08-06
1994,,-19.0,,3.73,24.13,53.95,2026-08-06
2003,,-20.8,,3.73,24.13,53.95,2026-08-06
2109,,-17.8,,3.73,24.13,53.95,2026-08-06
2152,,-18.8,,3.73,24.13,53.95,2026-08-06
2157,,-29.9,,3.73,24.13,53.95,2026-08-06
2180,,14.0,,3.73,24.13,53.95,2026-08-06
2181,,-20.3,,3.73,24.13,53.95,2026-08-06
2220,,-22.7,,3.73,24.13,53.95,2026-08-06
2222,,6.8,,3.73,24.13,53.95,2026-08-06
2264,,-75.6,,3.73,24.13,53.95,2026-08-06
2267,,-12.0,,3.73,24.13,53.95,2026-08-06
2281,,-31.3,,3.73,24.13,53.95,2026-08-06
2286,,1.4,,3.73,24.13,53.95,2026-08-06
2288,,-26.3,,3.73,24.13,53.95,2026-08-06
2331,,-21.2,,3.73,24.13,53.95,2026-08-06
2341,,-27.1,,3.73,24.13,53.95,2026-08-06
2342,,-39.0,,3.73,24.13,53.95,2026-08-06
2349,,-16.2,,3.73,24.13,53.95,2026-08-06
2379,,-26.9,,3.73,24.13,53.95,2026-08-06
2384,,-12.1,,3.73,24.13,53.95,2026-08-06
2404,-5.6,-10.5,,3.73,24.13,53.95,2026-08-06
2415,,-30.8,,3.73,24.13,53.95,2026-08-06
2464,,-19.8,,3.73,24.13,53.95,2026-08-06
2477,,-37.7,,3.73,24.13,53.95,2026-08-06
2480,,-18.3,,3.73,24.13,53.95,2026-08-06
2491,,-20.7,,3.73,24.13,53.95,2026-08-06
2569,-1.4,,,3.73,24.13,53.95,2026-08-06
2579,,-11.7,,3.73,24.13,53.95,2026-08-06
2607,,-23.1,,3.73,24.13,53.95,2026-08-06
2652,25.1,4.2,,3.73,24.13,53.95,2026-08-06
2666,,-11.3,,3.73,24.13,53.95,2026-08-06
2667,,-68.8,,3.73,24.13,53.95,2026-08-06
2678,,-24.7,,3.73,24.13,53.95,2026-08-06
2687,,-19.5,,3.73,24.13,53.95,2026-08-06
2700,,-47.1,,3.73,24.13,53.95,2026-08-06
2702,,-6.8,,3.73,24.13,53.95,2026-08-06
2721,11.0,-38.5,,3.73,24.13,53.95,2026-08-06
2735,8.9,-17.8,,3.73,24.13,53.95,2026-08-06
2736,,-12.0,,3.73,24.13,53.95,2026-08-06
2788,17.2,-4.9,,3.73,24.13,53.95,2026-08-06
2892,,-7.7,,3.73,24.13,53.95,2026-08-06
2926,,-2.5,,3.73,24.13,53.95,2026-08-06
2935,,-28.1,,3.73,24.13,53.95,2026-08-06
2961,,-74.9,,3.73,24.13,53.95,2026-08-06
2962,,82.2,,3.73,24.13,53.95,2026-08-06
2978,-18.0,,,3.73,24.13,53.95,2026-08-06
2984,,-17.5,,3.73,24.13,53.95,2026-08-06
2993,,-26.2,,3.73,24.13,53.95,2026-08-06
2998,,-55.8,,3.73,24.13,53.95,2026-08-06
3001,,-22.4,,3.73,24.13,53.95,2026-08-06
3023,-0.8,,,3.73,24.13,53.95,2026-08-06
3040,,-16.4,,3.73,24.13,53.95,2026-08-06
3042,,-33.7,,3.73,24.13,53.95,2026-08-06
3045,,-18.7,,3.73,24.13,53.95,2026-08-06
3046,,4.2,,3.73,24.13,53.95,2026-08-06
3065,-3.6,-20.3,,3.73,24.13,53.95,2026-08-06
3082,,-17.6,,3.73,24.13,53.95,2026-08-06
3088,,-24.3,,3.73,24.13,53.95,2026-08-06
3093,16.0,-1.9,,3.73,24.13,53.95,2026-08-06
3110,,-86.0,,3.73,24.13,53.95,2026-08-06
3111,,-42.9,,3.73,24.13,53.95,2026-08-06
3133,,-83.1,,3.73,24.13,53.95,2026-08-06
3137,,-25.6,,3.73,24.13,53.95,2026-08-06
3153,,-30.0,,3.73,24.13,53.95,2026-08-06
3157,,-29.5,,3.73,24.13,53.95,2026-08-06
3160,,-19.6,,3.73,24.13,53.95,2026-08-06
3166,,-20.7,,3.73,24.13,53.95,2026-08-06
3173,,6.1,,3.73,24.13,53.95,2026-08-06
3179,,-4.5,,3.73,24.13,53.95,2026-08-06
3190,,-17.0,,3.73,24.13,53.95,2026-08-06
3195,22.0,,,3.73,24.13,53.95,2026-08-06
3201,,-17.9,,3.73,24.13,53.95,2026-08-06
3202,,-19.0,,3.73,24.13,53.95,2026-08-06
3236,,-38.6,,3.73,24.13,53.95,2026-08-06
3238,,-28.0,,3.73,24.13,53.95,2026-08-06
3280,-7.6,-34.2,,3.73,24.13,53.95,2026-08-06
3299,,-32.0,,3.73,24.13,53.95,2026-08-06
3323,,-46.5,,3.73,24.13,53.95,2026-08-06
3333,,-16.2,,3.73,24.13,53.95,2026-08-06
3401,,-13.7,,3.73,24.13,53.95,2026-08-06
3402,,-15.2,,3.73,24.13,53.95,2026-08-06
3431,,-34.6,,3.73,24.13,53.95,2026-08-06
3449,,89.1,,3.73,24.13,53.95,2026-08-06
3461,,-12.7,,3.73,24.13,53.95,2026-08-06
3467,,-11.3,,3.73,24.13,53.95,2026-08-06
3469,,-24.1,,3.73,24.13,53.95,2026-08-06
3476,-13.8,,,3.73,24.13,53.95,2026-08-06
3494,,-8.1,,3.73,24.13,53.95,2026-08-06
3566,,-12.8,,3.73,24.13,53.95,2026-08-06
3580,,-31.3,,3.73,24.13,53.95,2026-08-06
3600,,-14.6,,3.73,24.13,53.95,2026-08-06
3626,,-13.3,,3.73,24.13,53.95,2026-08-06
3628,,-6.6,,3.73,24.13,53.95,2026-08-06
3640,,-39.1,,3.73,24.13,53.95,2026-08-06
3646,,-33.4,,3.73,24.13,53.95,2026-08-06
3667,,-62.5,,3.73,24.13,53.95,2026-08-06
3670,,-30.7,,3.73,24.13,53.95,2026-08-06
3678,-5.6,-38.1,,3.73,24.13,53.95,2026-08-06
3691,,-19.4,,3.73,24.13,53.95,2026-08-06
3698,,-9.1,,3.73,24.13,53.95,2026-08-06
3726,,-32.2,,3.73,24.13,53.95,2026-08-06
3741,,-30.0,,3.73,24.13,53.95,2026-08-06
3750,,-26.0,,3.73,24.13,53.95,2026-08-06
3774,,30.5,,3.73,24.13,53.95,2026-08-06
3787,,-62.3,,3.73,24.13,53.95,2026-08-06
3796,,-4.5,,3.73,24.13,53.95,2026-08-06
3798,,-16.0,,3.73,24.13,53.95,2026-08-06
3802,,-15.7,,3.73,24.13,53.95,2026-08-06
3815,,-29.5,,3.73,24.13,53.95,2026-08-06
3841,,-7.6,,3.73,24.13,53.95,2026-08-06
3848,,-32.2,,3.73,24.13,53.95,2026-08-06
3851,,4.4,,3.73,24.13,53.95,2026-08-06
3858,,-37.6,,3.73,24.13,53.95,2026-08-06
3922,,-32.7,,3.73,24.13,53.95,2026-08-06
3934,,-8.1,,3.73,24.13,53.95,2026-08-06
3935,,-22.0,,3.73,24.13,53.95,2026-08-06
3943,,-24.7,,3.73,24.13,53.95,2026-08-06
3962,,-22.4,,3.73,24.13,53.95,2026-08-06
3969,,-20.5,,3.73,24.13,53.95,2026-08-06
3989,,2.6,,3.73,24.13,53.95,2026-08-06
3996,-12.9,-41.7,,3.73,24.13,53.95,2026-08-06
3998,,-32.2,,3.73,24.13,53.95,2026-08-06
4019,,-18.8,,3.73,24.13,53.95,2026-08-06
4022,,17.7,,3.73,24.13,53.95,2026-08-06
4028,-6.5,-15.1,,3.73,24.13,53.95,2026-08-06
4056,,-53.7,,3.73,24.13,53.95,2026-08-06
4059,,-39.5,,3.73,24.13,53.95,2026-08-06
4073,6.9,-18.3,,3.73,24.13,53.95,2026-08-06
4074,,11.3,,3.73,24.13,53.95,2026-08-06
4098,-2.7,-32.9,,3.73,24.13,53.95,2026-08-06
4120,,8.1,,3.73,24.13,53.95,2026-08-06
4168,,-20.3,,3.73,24.13,53.95,2026-08-06
4186,,-3.5,,3.73,24.13,53.95,2026-08-06
4188,,-8.2,,3.73,24.13,53.95,2026-08-06
4208,,-2.5,,3.73,24.13,53.95,2026-08-06
4218,,-18.6,,3.73,24.13,53.95,2026-08-06
4229,,-24.0,,3.73,24.13,53.95,2026-08-06
4235,,-24.7,,3.73,24.13,53.95,2026-08-06
4251,,-24.4,,3.73,24.13,53.95,2026-08-06
4265,,-27.2,,3.73,24.13,53.95,2026-08-06
4272,,-9.9,,3.73,24.13,53.95,2026-08-06
4293,22.9,2.7,,3.73,24.13,53.95,2026-08-06
4318,,-24.7,,3.73,24.13,53.95,2026-08-06
4337,,-17.6,,3.73,24.13,53.95,2026-08-06
4344,,-38.8,,3.73,24.13,53.95,2026-08-06
4356,-9.4,-25.1,,3.73,24.13,53.95,2026-08-06
4360,,-29.5,,3.73,24.13,53.95,2026-08-06
4376,,-19.4,,3.73,24.13,53.95,2026-08-06
4392,,130.1,,3.73,24.13,53.95,2026-08-06
4393,,-32.2,,3.73,24.13,53.95,2026-08-06
4412,,-61.2,,3.73,24.13,53.95,2026-08-06
4420,,17.8,,3.73,24.13,53.95,2026-08-06
4439,,-42.8,,3.73,24.13,53.95,2026-08-06
4447,,-19.9,,3.73,24.13,53.95,2026-08-06
4477,,-29.4,,3.73,24.13,53.95,2026-08-06
4524,,-19.4,,3.73,24.13,53.95,2026-08-06
4527,,-25.1,,3.73,24.13,53.95,2026-08-06
4571,,-42.6,,3.73,24.13,53.95,2026-08-06
4575,,-30.2,,3.73,24.13,53.95,2026-08-06
4584,-36.7,,,3.73,24.13,53.95,2026-08-06
4588,,20.4,,3.73,24.13,53.95,2026-08-06
4616,,-15.4,,3.73,24.13,53.95,2026-08-06
4623,,-18.9,,3.73,24.13,53.95,2026-08-06
4651,,-4.6,,3.73,24.13,53.95,2026-08-06
4658,-9.5,-12.3,,3.73,24.13,53.95,2026-08-06
4680,,-7.2,,3.73,24.13,53.95,2026-08-06
4712,,-16.7,,3.73,24.13,53.95,2026-08-06
4716,,-22.4,,3.73,24.13,53.95,2026-08-06
4732,,-6.7,,3.73,24.13,53.95,2026-08-06
4736,,-22.1,,3.73,24.13,53.95,2026-08-06
4751,,-5.1,,3.73,24.13,53.95,2026-08-06
4767,,-27.0,,3.73,24.13,53.95,2026-08-06
4769,,-12.7,,3.73,24.13,53.95,2026-08-06
4784,,-43.7,,3.73,24.13,53.95,2026-08-06
4816,,-13.5,,3.73,24.13,53.95,2026-08-06
4819,,-16.7,,3.73,24.13,53.95,2026-08-06
4825,,-21.8,,3.73,24.13,53.95,2026-08-06
4832,,-25.2,,3.73,24.13,53.95,2026-08-06
4840,,-11.3,,3.73,24.13,53.95,2026-08-06
4845,,-29.3,,3.73,24.13,53.95,2026-08-06
4848,,-22.1,,3.73,24.13,53.95,2026-08-06
4885,,-37.5,,3.73,24.13,53.95,2026-08-06
4888,,-19.7,,3.73,24.13,53.95,2026-08-06
4894,,-52.1,,3.73,24.13,53.95,2026-08-06
4920,,-23.5,,3.73,24.13,53.95,2026-08-06
4923,0.3,-18.5,,3.73,24.13,53.95,2026-08-06
4927,,-23.0,,3.73,24.13,53.95,2026-08-06
4956,,-11.2,,3.73,24.13,53.95,2026-08-06
4958,,-5.5,,3.73,24.13,53.95,2026-08-06
4966,,5.4,,3.73,24.13,53.95,2026-08-06
4976,,-30.9,,3.73,24.13,53.95,2026-08-06
4994,,-18.8,,3.73,24.13,53.95,2026-08-06
4998,,-17.2,,3.73,24.13,53.95,2026-08-06
5032,-4.1,,,3.73,24.13,53.95,2026-08-06
5035,,-34.1,,3.73,24.13,53.95,2026-08-06
5103,,-87.5,,3.73,24.13,53.95,2026-08-06
5142,,-23.8,,3.73,24.13,53.95,2026-08-06
5161,,-24.0,,3.73,24.13,53.95,2026-08-06
5186,,36.1,,3.73,24.13,53.95,2026-08-06
5201,,-23.7,,3.73,24.13,53.95,2026-08-06
5237,,-7.2,,3.73,24.13,53.95,2026-08-06
5242,,46.2,,3.73,24.13,53.95,2026-08-06
5243,-0.9,-32.9,,3.73,24.13,53.95,2026-08-06
5247,,-37.1,,3.73,24.13,53.95,2026-08-06
5254,,2.8,,3.73,24.13,53.95,2026-08-06
5257,,-15.7,,3.73,24.13,53.95,2026-08-06
5262,,-48.0,,3.73,24.13,53.95,2026-08-06
5283,,-28.7,,3.73,24.13,53.95,2026-08-06
5287,,-47.2,,3.73,24.13,53.95,2026-08-06
5301,,27.9,,3.73,24.13,53.95,2026-08-06
5302,,-15.7,,3.73,24.13,53.95,2026-08-06
5331,-1.3,-9.1,,3.73,24.13,53.95,2026-08-06
5380,,-47.1,,3.73,24.13,53.95,2026-08-06
5381,,0.6,,3.73,24.13,53.95,2026-08-06
5401,,-17.0,,3.73,24.13,53.95,2026-08-06
5451,-0.7,-17.9,,3.73,24.13,53.95,2026-08-06
5491,,-26.0,,3.73,24.13,53.95,2026-08-06
5533,,-17.9,,3.73,24.13,53.95,2026-08-06
5537,,0.4,,3.73,24.13,53.95,2026-08-06
5571,-12.3,-35.8,,3.73,24.13,53.95,2026-08-06
5592,,-19.9,,3.73,24.13,53.95,2026-08-06
5707,-22.1,-50.4,,3.73,24.13,53.95,2026-08-06
5726,,2.7,,3.73,24.13,53.95,2026-08-06
5802,,-76.8,,3.73,24.13,53.95,2026-08-06
5819,,-24.8,,3.73,24.13,53.95,2026-08-06
5842,,-32.7,,3.73,24.13,53.95,2026-08-06
5845,,1.1,,3.73,24.13,53.95,2026-08-06
5884,,9.6,,3.73,24.13,53.95,2026-08-06
5938,,-21.9,,3.73,24.13,53.95,2026-08-06
5952,,-28.0,,3.73,24.13,53.95,2026-08-06
5975,,-7.5,,3.73,24.13,53.95,2026-08-06
5986,,-1.6,,3.73,24.13,53.95,2026-08-06
5997,,0.4,,3.73,24.13,53.95,2026-08-06
6033,,4.0,,3.73,24.13,53.95,2026-08-06
6036,,-29.0,,3.73,24.13,53.95,2026-08-06
6042,,-22.1,,3.73,24.13,53.95,2026-08-06
6050,,-17.7,,3.73,24.13,53.95,2026-08-06
6054,,-21.4,,3.73,24.13,53.95,2026-08-06
6071,,-8.5,,3.73,24.13,53.95,2026-08-06
6072,-13.8,270.0,,3.73,24.13,53.95,2026-08-06
6092,,-0.5,,3.73,24.13,53.95,2026-08-06
6099,,-13.5,,3.73,24.13,53.95,2026-08-06
6103,,4.2,,3.73,24.13,53.95,2026-08-06
6113,,7.8,,3.73,24.13,53.95,2026-08-06
6143,,36.8,,3.73,24.13,53.95,2026-08-06
6146,,-24.2,,3.73,24.13,53.95,2026-08-06
6147,,-53.3,,3.73,24.13,53.95,2026-08-06
6155,,-15.0,,3.73,24.13,53.95,2026-08-06
6158,,-17.1,,3.73,24.13,53.95,2026-08-06
6161,,-14.4,,3.73,24.13,53.95,2026-08-06
6176,,6.1,,3.73,24.13,53.95,2026-08-06
6195,,-28.3,,3.73,24.13,53.95,2026-08-06
6217,,16.1,,3.73,24.13,53.95,2026-08-06
6264,,14.5,,3.73,24.13,53.95,2026-08-06
6284,,24.3,,3.73,24.13,53.95,2026-08-06
6325,,-18.0,,3.73,24.13,53.95,2026-08-06
6334,,-7.1,,3.73,24.13,53.95,2026-08-06
6343,,-38.2,,3.73,24.13,53.95,2026-08-06
6376,,76.5,,3.73,24.13,53.95,2026-08-06
6382,,-24.7,,3.73,24.13,53.95,2026-08-06
6387,-37.7,,,3.73,24.13,53.95,2026-08-06
6396,,-18.1,,3.73,24.13,53.95,2026-08-06
6418,,-8.5,,3.73,24.13,53.95,2026-08-06
6440,,-5.2,,3.73,24.13,53.95,2026-08-06
6464,,-3.3,,3.73,24.13,53.95,2026-08-06
6481,,22.3,,3.73,24.13,53.95,2026-08-06
6484,,-23.6,,3.73,24.13,53.95,2026-08-06
6485,,-21.7,,3.73,24.13,53.95,2026-08-06
6488,,-19.9,,3.73,24.13,53.95,2026-08-06
6496,,-32.8,,3.73,24.13,53.95,2026-08-06
6525,,10.1,,3.73,24.13,53.95,2026-08-06
6526,,-20.1,,3.73,24.13,53.95,2026-08-06
6538,,-39.3,,3.73,24.13,53.95,2026-08-06
6545,17.7,3.6,,3.73,24.13,53.95,2026-08-06
6546,,-22.7,,3.73,24.13,53.95,2026-08-06
6551,,-33.4,,3.73,24.13,53.95,2026-08-06
6630,,-12.9,,3.73,24.13,53.95,2026-08-06
6643,,2.1,,3.73,24.13,53.95,2026-08-06
6652,,0.2,,3.73,24.13,53.95,2026-08-06
6668,,58.0,,3.73,24.13,53.95,2026-08-06
6675,,-24.8,,3.73,24.13,53.95,2026-08-06
6678,,-32.0,,3.73,24.13,53.95,2026-08-06
6728,,-11.6,,3.73,24.13,53.95,2026-08-06
6737,,16.2,,3.73,24.13,53.95,2026-08-06
6741,,-0.5,,3.73,24.13,53.95,2026-08-06
6758,,-16.4,,3.73,24.13,53.95,2026-08-06
6794,,-18.8,,3.73,24.13,53.95,2026-08-06
6820,,-8.2,,3.73,24.13,53.95,2026-08-06
6824,,0.0,,3.73,24.13,53.95,2026-08-06
6849,3.8,-24.0,,3.73,24.13,53.95,2026-08-06
6855,,8.6,,3.73,24.13,53.95,2026-08-06
6875,,-6.3,,3.73,24.13,53.95,2026-08-06
6877,,23.9,,3.73,24.13,53.95,2026-08-06
6890,,22.9,,3.73,24.13,53.95,2026-08-06
6904,,-24.1,,3.73,24.13,53.95,2026-08-06
6918,,-8.9,,3.73,24.13,53.95,2026-08-06
6926,,-22.3,,3.73,24.13,53.95,2026-08-06
6928,-29.3,-26.4,22.3,3.73,24.13,53.95,2026-08-06
6946,,-24.4,,3.73,24.13,53.95,2026-08-06
6977,,29.5,,3.73,24.13,53.95,2026-08-06
7011,,-33.0,,3.73,24.13,53.95,2026-08-06
7049,,-25.8,,3.73,24.13,53.95,2026-08-06
7058,,-17.8,,3.73,24.13,53.95,2026-08-06
7072,,-19.7,,3.73,24.13,53.95,2026-08-06
7079,-4.0,-22.5,,3.73,24.13,53.95,2026-08-06
7081,,-21.6,,3.73,24.13,53.95,2026-08-06
7087,,-19.3,,3.73,24.13,53.95,2026-08-06
7096,,-29.7,,3.73,24.13,53.95,2026-08-06
7102,,-32.7,,3.73,24.13,53.95,2026-08-06
7114,,-28.0,,3.73,24.13,53.95,2026-08-06
7127,,-19.3,,3.73,24.13,53.95,2026-08-06
7130,,-23.7,,3.73,24.13,53.95,2026-08-06
7162,,8.8,,3.73,24.13,53.95,2026-08-06
7167,,4.3,,3.73,24.13,53.95,2026-08-06
7175,,7.6,,3.73,24.13,53.95,2026-08-06
7185,,-14.1,,3.73,24.13,53.95,2026-08-06
7189,,-9.9,,3.73,24.13,53.95,2026-08-06
7198,,-27.3,,3.73,24.13,53.95,2026-08-06
7208,,-1.1,,3.73,24.13,53.95,2026-08-06
7214,,-6.5,,3.73,24.13,53.95,2026-08-06
7215,,-6.8,,3.73,24.13,53.95,2026-08-06
7219,,-2.3,,3.73,24.13,53.95,2026-08-06
7235,,-24.7,,3.73,24.13,53.95,2026-08-06
7238,,-29.7,,3.73,24.13,53.95,2026-08-06
7240,,-21.4,,3.73,24.13,53.95,2026-08-06
7270,,-38.0,,3.73,24.13,53.95,2026-08-06
7277,-10.5,-27.2,,3.73,24.13,53.95,2026-08-06
7343,,-22.9,,3.73,24.13,53.95,2026-08-06
7351,,-32.0,,3.73,24.13,53.95,2026-08-06
7354,,-10.1,,3.73,24.13,53.95,2026-08-06
7358,,-15.0,,3.73,24.13,53.95,2026-08-06
7367,,-20.3,,3.73,24.13,53.95,2026-08-06
7368,,-20.7,,3.73,24.13,53.95,2026-08-06
7372,,-19.2,,3.73,24.13,53.95,2026-08-06
7373,,-62.9,,3.73,24.13,53.95,2026-08-06
7380,,16.3,,3.73,24.13,53.95,2026-08-06
7422,,-38.7,,3.73,24.13,53.95,2026-08-06
7466,,-7.4,,3.73,24.13,53.95,2026-08-06
7481,,-20.7,,3.73,24.13,53.95,2026-08-06
