Code,SharesOutstanding,UpdatedDate
1301,11877339,2026-04-10
1332,303273032,2026-04-10
1333,151177450,2026-04-10
1375,39882822,2026-04-10
1376,10966168,2026-04-10
1377,42259696,2026-04-10
1379,31299064,2026-04-10
1380,4169122,2026-04-10
1381,5615670,2026-04-10
1382,761620,2026-04-10
1383,1600356,2026-04-10
1384,8458882,2026-04-10
1401,6931902,2026-04-10
1407,39659270,2026-04-10
1414,202094340,2026-04-10
1417,88660316,2026-04-10
1418,15312049,2026-04-10
1419,28988158,2026-04-10
1420,11831714,2026-04-10
1429,32210329,2026-04-10
1430,11990562,2026-04-10
1431,23265828,2026-04-10
1433,8860910,2026-04-10
1434,6937156,2026-04-10
1435,89734200,2026-04-10
1436,4122365,2026-04-10
1438,3244213,2026-04-10
1443,16234321,2026-04-10
1444,1087877,2026-04-10
1445,429600,2026-04-10
1446,9263700,2026-04-10
1447,24377937,2026-04-10
1450,8698752,2026-04-10
1491,14410389,2026-04-10
1514,59823358,2026-04-10
1515,78682200,2026-04-10
1518,38425560,2026-04-10
1605,1162177199,2026-04-10
1662,255958000,2026-04-10
1663,26694307,2026-04-10
1711,10232663,2026-04-10
1716,11252847,2026-04-10
1717,11758656,2026-04-10
1718,1073669,2026-04-10
1719,156765788,2026-04-10
1720,105949057,2026-04-10
1721,116049835,2026-04-10
1723,63733016,2026-04-10
1724,4471823,2026-04-10
1726,45272628,2026-04-10
1736,15494382,2026-04-10
1758,1996002,2026-04-10
1762,34818467,2026-04-10
1764,1246324,2026-04-10
1766,11100980,2026-04-10
1768,7305368,2026-04-10
1770,9184046,2026-04-10
1773,12492149808,2026-04-10
1776,9204847,2026-04-10
1780,18927227,2026-04-10
1783,170042568,2026-04-10
1786,128632652,2026-04-10
1787,2452136,2026-04-10
1788,626852,2026-04-10
1793,25413814,2026-04-10
1795,889593,2026-04-10
1798,10904700,2026-04-10
1799,17701735,2026-04-10
1801,163010347,2026-04-10
1803,676556344,2026-04-10
1807,6244557,2026-04-10
1810,28520861,2026-04-10
1811,7161587,2026-04-10
1813,15149872,2026-04-10
1814,10389203,2026-04-10
1815,13931417,2026-04-10
1820,39484719,2026-04-10
1822,88256175,2026-04-10
1826,12046202,2026-04-10
1827,34364180,2026-04-10
1828,10499050,2026-04-10
1833,35870785,2026-04-10
1835,34441830,2026-04-10
1840,25774994,2026-04-10
1844,18716051,2026-04-10
1847,14517600,2026-04-10
1848,17664842,2026-04-10
1850,28827599,2026-04-10
1852,80706774,2026-04-10
1860,299674798,2026-04-10
1861,171894900,2026-04-10
1867,6575991,2026-04-10
1870,43181721,2026-04-10
1871,46819853,2026-04-10
1873,39998190,2026-04-10
1878,331357540,2026-04-10
1879,58489640,2026-04-10
1882,46211288,2026-04-10
1887,79737054,2026-04-10
1888,12723892,2026-04-10
1893,273083755,2026-04-10
1897,2105048,2026-04-10
1898,36632369,2026-04-10
1899,8280754,2026-04-10
1904,6050786,2026-04-10
1905,6640326,2026-04-10
1909,26814848,2026-04-10
1911,611433861,2026-04-10
1921,33564195,2026-04-10
1925,619348416,2026-04-10
1926,42775178,2026-04-10
1928,648237426,2026-04-10
1929,41769808,2026-04-10
1930,27502545,2026-04-10
1934,68687444,2026-04-10
1939,47334961,2026-04-10
1941,52943112,2026-04-10
1942,199013933,2026-04-10
1944,197992848,2026-04-10
1945,33134945,2026-04-10
1946,92832978,2026-04-10
1948,8733580,2026-04-10
1950,58372304,2026-04-10
1951,207506621,2026-04-10
1952,45421530,2026-04-10
1960,15354654,2026-04-10
1961,50917456,2026-04-10
1964,7237433,2026-04-10
1965,20503530,2026-04-10
1966,7308581,2026-04-10
1967,22386945,2026-04-10
1968,63104662,2026-04-10
1969,130865038,2026-04-10
1972,19277785,2026-04-10
1975,25772875,2026-04-10
1976,45902126,2026-04-10
1979,62999599,2026-04-10
1980,129381744,2026-04-10
1982,43069130,2026-04-10
1992,2290243,2026-04-10
1997,2022047,2026-04-10
2001,82983771,2026-04-10
2002,282488074,2026-04-10
2003,36420012,2026-04-10
2053,29522360,2026-04-10
2055,18111793,2026-04-10
2060,38269538,2026-04-10
2108,12088585,2026-04-10
2109,31116800,2026-04-10
2112,27522571,2026-04-10
2114,51302234,2026-04-10
2121,65106446,2026-04-10
2124,158402535,2026-04-10
2127,317323937,2026-04-10
2130,12782226,2026-04-10
2134,547690992,2026-04-10
2136,3805191,2026-04-10
2138,9567720,2026-04-10
2139,6800024,2026-04-10
2148,19423552,2026-04-10
2152,10802550,2026-04-10
2154,84945253,2026-04-10
2157,82423581,2026-04-10
2158,39181503,2026-04-10
