Code,Name,Shares,Sector
2753,"Amiyaki Tei Co., Ltd.",20545770,Consumer Cyclical
2408,"KG Intelligence CO., LTD.",7320029,Communication Services
7463,"Advan Group Co., Ltd.",33580645,Basic Materials
6866,Hioki E.E. Corporation,13417545,Technology
2411,Gendai Agency Inc.,11000000,Communication Services
4929,"Adjuvant Holdings Co.,Ltd.",8000395,Consumer Defensive
3091,"BRONCO BILLY Co.,LTD.",14887224,Consumer Cyclical
4684,"OBIC Co.,Ltd.",433332090,Technology
4733,"OBIC Business Consultants Co., Ltd.",75176703,Technology
296A,N/A,37403000,Industrials
5576,O.B.System Inc.,2326464,Technology
6146,Disco Corporation,108430528,Technology
6653,"Seiko Electric Co., Ltd.",13525447,Technology
8060,Canon Marketing Japan Inc.,212620890,Industrials
2268,"B-R 31 Ice Cream Co.,Ltd.",9635837,Consumer Defensive
5204,"Ishizuka Glass Co., Ltd.",4186044,Consumer Cyclical
6858,"Ono Sokki Co., Ltd.",10424023,Technology
7309,Shimano Inc.,86465442,Consumer Cyclical
7751,Canon Inc.,874945051,Technology
7931,"Mirai Industry Co.,Ltd.",16155825,Industrials
9795,"Step Co.,Ltd.",15535229,Consumer Defensive
1972,"Sanko Metal Industrial Co., Ltd.",19277785,Industrials
2481,"Townnews-Sha Co.,Ltd.",5520623,Communication Services
2737,Tomen Devices Corporation,6800878,Technology
2801,Kikkoman Corporation,926538250,Consumer Defensive
3231,"Nomura Real Estate Holdings, Inc.",857459207,Real Estate
3891,Nippon Kodoshi Corporation,10546710,Technology
3912,"Mobile Factory, Inc.",6493838,Communication Services
4307,"Nomura Research Institute, Ltd.",573314079,Technology
4519,"Chugai Pharmaceutical Co., Ltd.",1645713419,Healthcare
4765,"SBI Global Asset Management Co., Ltd.",137970974,Financial Services
4832,"JFE Systems, Inc.",31409724,Technology
4956,"Konishi Co., Ltd.",66358444,Basic Materials
4973,"Japan Pure Chemical Co.,Ltd.",5784993,Basic Materials
5423,"Tokyo Steel Manufacturing Co., Ltd.",102520343,Basic Materials
5609,Nippon Chuzo K. K.,4821150,Basic Materials
5990,Super Tool Co. Ltd.,2354463,Industrials
6305,"Hitachi Construction Machinery Co., Ltd.",212736765,Industrials
6345,Aichi Corporation,64559851,Industrials
6663,"Taiyo Technolex Co.,Ltd.",5986173,Technology
6723,Renesas Electronics Corporation,1813334712,Technology
6807,"Japan Aviation Electronics Industry, Limited",67411356,Technology
6861,Keyence Corporation,242525205,Technology
6954,Fanuc Corporation,933158809,Industrials
6995,"Tokai Rika Co., Ltd.",85108744,Consumer Cyclical
6999,KOA Corporation,37138784,Technology
7102,"Nippon Sharyo, Ltd.",14429589,Industrials
7175,"The Imamura Securities Co., Ltd.",5116664,Financial Services
7422,"Toho Lamac Co., Ltd.",5088200,Consumer Cyclical
7839,"Shoei Co., Ltd.",51203374,Consumer Cyclical
7908,"Kimoto Co., Ltd.",43665906,Technology
7962,"King Jim Co., Ltd.",28160155,Industrials
8595,"JAFCO Group Co., Ltd.",52620094,Financial Services
8604,"Nomura Holdings, Inc.",2901327227,Financial Services
8617,"The Kosei Securities Co., Ltd.",9449741,Financial Services
8706,"Kyokuto Securities Co., Ltd.",31498314,Financial Services
