Code,MarketCapB
1301,60.6
1305,10536.7
1326,17845.0
1332,417.6
1333,225.3
1349,584.5
1375,42.2
1376,16.0
1377,179.2
1379,60.8
1380,4.3
1381,22.1
1382,1.3
1383,5.4
1384,24.9
1401,9.8
1407,72.3
1414,290.0
1417,332.3
1418,7.6
1419,117.5
1420,7.8
1429,22.8
1430,12.8
1431,15.0
1433,10.0
1434,12.6
1435,18.4
1436,16.6
1438,5.9
1443,4.8
1444,3.0
1445,1.2
1446,5.0
1447,8.4
1450,13.0
1452,0.9
1491,14.3
1514,52.8
1515,211.1
1518,52.8
1557,103065.5
1605,4916.0
1662,630.7
1663,132.4
1711,2.9
1716,16.9
1717,11.9
1718,8.1
1719,315.9
1720,157.2
1721,621.7
1723,157.7
1724,3.3
1726,23.8
1736,37.3
1758,4.9
1762,130.9
1764,4.0
1766,159.9
1768,10.0
1770,15.3
1773,961.9
1776,18.4
1780,28.5
1783,10.4
1786,48.5
1787,14.2
1788,3.2
1793,41.8
1795,4.3
1798,13.6
1799,70.5
1801,2730.4
1803,1995.2
1807,12.2
1810,46.7
1811,60.7
1813,47.0
1814,37.5
1815,68.5
1820,231.9
1822,68.2
1826,13.2
1827,49.8
1828,26.4
1833,229.6
1835,197.4
1840,6.1
1844,10.7
1847,39.8
1848,10.4
1850,13.8
1852,80.4
1860,445.8
1861,271.6
1867,18.9
1870,92.1
1871,135.3
1873,13.2
1878,1204.3
1879,115.8
1882,80.0
1887,48.2
1888,52.0
1893,495.2
1897,7.0
1898,56.9
1899,72.4
1904,33.7
1905,9.8
1909,75.9
1911,885.1
1921,74.1
1925,3089.3
1926,168.8
1928,2356.3
1929,53.3
1930,40.8
1934,190.1
1939,94.3
1941,259.7
1942,1270.7
1944,1474.7
1945,59.3
1946,198.2
1948,57.7
1950,300.0
1951,593.1
1952,173.1
1960,21.3
1961,405.8
1964,31.3
1965,143.7
1966,13.3
1967,48.8
1968,195.3
1969,607.1
1972,25.7
1975,100.5
1976,88.5
1979,223.6
1980,373.1
1982,133.7
1992,6.4
1997,8.4
2001,227.9
2002,604.9
2003,67.0
2053,50.5
2055,7.2
2060,45.2
2108,49.9
2109,111.4
2112,14.6
2114,32.5
2121,166.2
2124,139.1
2127,210.1
2130,13.4
2134,17.5
2136,5.6
2138,5.1
2139,3.5
2148,30.9
2152,16.2
2154,154.9
2157,90.7
2158,31.9
2162,7.5
2163,21.0
2164,2.5
2168,74.0
2169,12.5
2170,65.5
2173,15.8
2175,140.4
2179,4.2
2180,13.7
2181,531.8
2183,5.8
2185,24.6
2186,7.1
2195,8.5
2198,23.7
2201,238.9
2204,19.0
2207,51.1
2208,78.8
2209,31.2
2211,64.1
2212,656.1
2215,4.2
2216,51.3
2217,30.9
2220,94.4
2221,33.6
2222,285.6
2224,12.7
2226,49.8
2264,406.9
2266,23.1
2267,790.2
2268,39.1
2269,1078.5
2270,200.2
2281,140.4
2282,683.8
2286,7.8
2288,59.2
2291,2.0
2292,97.7
2294,28.7
2296,326.3
3402,1714.6
5938,478.2
6027,63.2
6186,2.1
6506,1212.2
6927,21.7
7087,8.3
7148,139.0
7325,7.2
7874,37.7
8025,5.2
8046,19.1
8795,1953.1
9009,596.0
9989,453.4
1802,2607.4
1808,770.7
1812,2889.8
1885,237.3
1959,680.8
1963,667.1
2146,110.1
2193,9.7
2206,374.1
2229,376.9
2326,73.1
2327,690.0
2331,608.2
2337,198.6
2371,393.7
2379,107.6
2384,169.0
2753,29.7
2408,5.6
7463,32.9
6866,106.8
2411,5.1
4929,6.1
3091,66.2
4684,1683.1
4733,465.1
296A,30.4
5576,6.0
6146,7252.9
6653,33.6
8060,733.8
5204,14.0
6858,8.3
7309,1437.1
7751,3823.5
7931,52.3
9795,37.7
2481,3.8
2737,82.3
2801,1411.1
3231,897.8
3891,43.4
3912,7.8
4307,2532.9
4519,14276.6
4765,80.6
4832,64.5
4956,90.4
4973,27.9
5423,178.9
5609,4.2
5990,4.7
6305,1214.1
6345,90.3
6663,2.0
6723,4817.1
6807,164.1
6861,15143.3
6954,5831.3
6995,258.3
6999,63.8
7102,52.4
7175,6.7
7422,2.0
7839,85.9
7908,12.0
7962,23.1
8595,119.3
8604,3786.2
8617,5.1
8706,56.0
8892,107.8
9551,160.7
2689,12.5
2760,93.7
3003,1428.7
3635,529.9
3636,75.9
3778,122.1
4498,19.0
4503,4670.2
4568,5085.1
5410,52.4
5612,5.1
5992,89.6
6382,19.9
6436,275.8
6470,30.8
6501,21760.3
6516,180.4
6754,434.9
6810,95.4
6857,18143.1
6988,2151.0
7236,46.4
7241,89.2
7278,204.3
7283,109.8
7949,46.1
7970,170.4
8285,46.1
8601,2141.5
8628,245.7
9368,36.7
9474,52.7
9932,22.9
2359,32.2
2491,10.1
2664,67.7
3116,436.7
3426,5.3
3439,3.2
3622,3.8
3911,8.9
3969,10.5
4043,276.3
4045,190.4
