Code,MarketDiv,Name,ScaleCategory,Sector,Sector33
1301,0111,"KYOKUYO CO.,LTD.",TOPIX Small 1,,
1332,0111,Nissui Corporation,TOPIX Mid400,,
1333,0111,Umios Corporation,TOPIX Mid400,,
1377,0111,SAKATA SEED CORPORATION,TOPIX Small 1,,
1414,0111,"SHO-BOND Holdings Co.,Ltd.",TOPIX Mid400,,
1417,0111,MIRAIT ONE Corporation,TOPIX Mid400,,
1419,0111,"Tama Home Co.,Ltd.",TOPIX Small 1,,
1515,0111,"Nittetsu Mining Co.,Ltd.",TOPIX Small 1,,
1518,0111,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",TOPIX Small 1,,
1605,0111,INPEX CORPORATION,TOPIX Mid400,,
1662,0111,"Japan Petroleum Exploration Co.,Ltd.",TOPIX Small 1,,
1663,0111,K&O Energy Group Inc.,TOPIX Small 1,,
167A,0111,"Ryoyo Ryosan Holdings,Inc.",TOPIX Small 1,,
1719,0111,HAZAMA ANDO CORPORATION,TOPIX Mid400,,
1720,0111,"TOKYU CONSTRUCTION CO., LTD.",TOPIX Small 1,,
1721,0111,COMSYS Holdings Corporation,TOPIX Mid400,,
1766,0111,TOKEN CORPORATION,TOPIX Small 1,,
1801,0111,TAISEI CORPORATION,TOPIX Mid400,,
1802,0111,OBAYASHI CORPORATION,TOPIX Mid400,,
1803,0111,SHIMIZU CORPORATION,TOPIX Mid400,,
1808,0111,HASEKO Corporation,TOPIX Mid400,,
1812,0111,KAJIMA CORPORATION,TOPIX Mid400,,
1820,0111,"Nishimatsu Construction Co.,Ltd.",TOPIX Mid400,,
1833,0111,OKUMURA CORPORATION,TOPIX Small 1,,
1835,0111,"TOTETSU KOGYO CO.,LTD.",TOPIX Small 1,,
1852,0111,ASANUMA CORPORATION,TOPIX Small 1,,
1860,0111,TODA CORPORATION,TOPIX Mid400,,
1861,0111,"Kumagai Gumi Co.,Ltd.",TOPIX Small 1,,
1870,0111,"YAHAGI CONSTRUCTION CO.,LTD.",TOPIX Small 1,,
1878,0111,"DAITO TRUST CONSTRUCTION CO.,LTD.",TOPIX Mid400,,
1882,0111,TOA ROAD CORPORATION,TOPIX Small 1,,
1885,0111,TOA CORPORATION,TOPIX Small 1,,
1893,0111,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",TOPIX Mid400,,
1898,0111,"SEIKITOKYU KOGYO CO.,LTD.",TOPIX Small 1,,
1911,0111,"Sumitomo Forestry Co.,Ltd.",TOPIX Mid400,,
1925,0111,"DAIWA HOUSE INDUSTRY CO.,LTD.",TOPIX Large70,,
1926,0111,"RAITO KOGYO CO.,LTD.",TOPIX Small 1,,
1928,0111,"Sekisui House,Ltd.",TOPIX Large70,,
1934,0111,YURTEC CORPORATION,TOPIX Small 1,,
1941,0111,CHUDENKO CORPORATION,TOPIX Small 1,,
1942,0111,"KANDENKO CO.,LTD.",TOPIX Mid400,,
1944,0111,KINDEN CORPORATION,TOPIX Mid400,,
1950,0111,"NIPPON DENSETSU KOGYO CO.,LTD.",TOPIX Small 1,,
1951,0111,"EXEO Group,Inc.",TOPIX Mid400,,
1952,0111,"Shin Nippon Air Technologies Co.,Ltd.",TOPIX Small 1,,
